Name,Code,Average Profit[%],Profit Day Ratio[%],Tomorrow Prediction
만도,204320.KS,1.8,0.0,75.0
메리츠증권,008560.KS,0.8,0.0,8.00000011920929
미래에셋대우,006800.KS,4.0,0.0,18.99999976158142
삼성물산,028260.KS,0.2,0.0,-17.999999523162842
삼성엔지니어링,028050.KS,0.4,0.0,-13.999999761581421
삼성카드,029780.KS,0.1,0.0,8.999999761581421
삼양사,145990.KS,2.8,0.0,8.00000011920929
신세계,004170.KS,5.7,0.0,0.0
아이에스동서,010780.KS,0.2,0.0,25.999999046325684
영진약품,003520.KS,3.2,0.0,6.9999998807907104
오뚜기,007310.KS,1.1,0.0,-24.000000953674316
이마트,139480.KS,4.9,0.0,-18.99999976158142
일진머티리얼즈,020150.KS,0.3,0.0,37.99999952316284
제일기획,030000.KS,0.7,0.0,22.999999523162842
팬오션,028670.KS,0.6,0.0,-55.0
포스코케미칼,003670.KS,3.7,0.0,-1.0000000149011612
하이트진로,000080.KS,2.1,0.0,58.00000190734863
한국조선해양,009540.KS,1.4,0.0,29.000000953674316
한샘,009240.KS,0.5,0.0,-12.999999523162842
한섬,020000.KS,1.8,0.0,12.999999523162842
한세실업,105630.KS,1.5,0.0,-3.0000001192092896
한온시스템,018880.KS,1.7,0.0,-20.0
한일현대시멘트,006390.KS,1.0,0.0,6.000000238418579
한전기술,052690.KS,0.4,0.0,-12.999999523162842
한진칼,180640.KS,0.6,0.0,15.0
한화생명,088350.KS,1.2,0.0,-10.0
한화솔루션,009830.KS,2.8,0.0,-40.999999046325684
현대로템,064350.KS,8.6,0.0,35.999999046325684
현대백화점,069960.KS,2.8,0.0,8.00000011920929
화승엔터프라이즈,241590.KS,6.0,0.0,-2.0000000298023224
효성,004800.KS,0.8,0.0,6.000000238418579
휴켐스,069260.KS,0.1,0.0,20.0
DB손해보험,005830.KS,0.1,0.0,4.000000059604645
GKL,114090.KS,2.6,0.0,-8.00000011920929
GS건설,006360.KS,1.4,0.0,2.0000000298023224
JW중외제약,001060.KS,3.5,0.0,25.0
KB금융,105560.KS,1.1,0.0,10.0
LG디스플레이,034220.KS,2.0,0.0,32.99999952316284
LG유플러스,032640.KS,0.9,0.0,-11.000000238418579
LG이노텍,011070.KS,1.0,0.0,-35.999999046325684
LG화학,051910.KS,1.3,0.0,61.99999809265137
NH투자증권,005940.KS,0.2,0.0,40.0
SK케미칼,285130.KS,1.4,0.0,55.999999046325684
SPC삼립,005610.KS,0.4,0.0,-2.0000000298023224
기아차,000270.KS,2.3,0.0,-3.0000001192092896
녹십자홀딩스,005250.KS,0.9,0.0,22.000000476837158
대림산업,000210.KS,0.4,0.0,17.000000476837158
대우건설,047040.KS,0.7,0.0,24.000000953674316
대웅제약,069620.KS,4.0,0.0,-8.00000011920929
대한유화,006650.KS,4.5,0.0,4.000000059604645
대한항공,003490.KS,0.5,0.0,5.0
더블유게임즈,192080.KS,0.6,0.0,-18.99999976158142
동원시스템즈,014820.KS,0.1,0.0,-32.99999952316284
롯데지주,004990.KS,1.5,0.0,-6.000000238418579
롯데케미칼,011170.KS,8.7,0.0,58.00000190734863
